taxon	taxID
Iphimediidae	178010
Iphimedioidea	2692359
Ipnopidae	172118
Iravadiidae	1260509
Irciniidae	275430
Ironidae	211204
Ironoidea	211203
Isaeidae	371473
Ischnochitonidae	27822
Ischnomesidae	263181
Ischyroceridae	371444
Isididae	44204
Isochrysidaceae	418951
Isodiametridae	504437
Istiophoridae	27768
Janiridae	96849
Janiroidea	525156
Janolidae	2773498
Kallymeniaceae	31430
Kamakidae	-32104
Kareniaceae	1003176
Katablepharidaceae	339961
Kelliellidae	1411955
Kineosporiaceae	83778
Kirchenpaueriidae	308592
Kofoidiniaceae	763928
Koinocystididae	1525124
Kophobelemnidae	361151
Kraussinidae	33473
Kraussinoidea	115395
Krithidae	182583
Krohnittidae	366400
Kryptoperidiniaceae	2137591
Labridae	8247
Lacernidae	2780257
Lacrymariidae	375590
Lactobacillaceae	33958
Lafoeidae	308660
Laminariaceae	33636
Lampeidae	1403708
Lampropidae	76493
Lanceoporidae	300492
Laodiceidae	168747
Laomediidae	177243
Laophontidae	610295
Laridae	8910
Lasaeidae	41671
Latreilliidae	116713
Latrunculiidae	81541
Lauderiaceae	49253
Lauratonematidae	2059210
Leegaardiellidae	1924999
Leiognathidae	30846
Lentisphaeraceae	566277
Lepadidae	38010
Lepadoidea	2899719
Lepechinellidae	1732339
Lepetellidae	216096
Lepraliellidae	97243
Leptanthuridae	525103
Leptocheliidae	764966
Leptochitonidae	291856
Leptocylindraceae	163514
Leptocytheridae	182562
Leptolaimidae	459104
Leptoplanidae	31248
Leptosomatidae	664464
Lernaeopodidae	298494
Lestrigonidae	472071
Lethrinidae	30848
Leucaltidae	196262
Leucascidae	269041
Leucettidae	81544
Leuconidae	55657
Leucopsacidae	472148
Leucosiidae	6800
Leucosioidea	6796
Leucosoleniidae	257001
Leucotheidae	140475
Leucothoidae	371467
Leucothoidea	2692360
Liagoraceae	31484
Lichenoporidae	121001
Lichinaceae	157478
Licmophoraceae	210596
Ligiidae	96854
Liljeborgiidae	317514
Liljeborgioidea	2692362
Limacinidae	220645
Limacinoidea	216328
Limapontiidae	71495
Limidae	102301
Limifossoridae	52920
Limnoriidae	161571
Lineidae	6222
Linhomoeidae	319958
Liparidae	183715
Litheliidae	366599
Lithodesmiaceae	49247
Lithophyllaceae	2705745
Littorinidae	31212
Littorinoidea	69679
Lobotidae	30849
Loliginidae	6615
Lomentariaceae	31498
Longipediidae	610300
Longosomatidae	1761470
Lopadorrhynchidae	758488
Lophiidae	8071
Lophogastridae	116664
Lophotidae	81371
Lotidae	81641
Lottiidae	69676
Lottioidea	216260
Louriniidae	610301
Loveniidae	41318
Loxoconchidae	182557
Loxosomatidae	231594
Lubbockiidae	450129
Lucicutiidae	544708
Luciferidae	111523
Lucinidae	42655
Lucinoidea	106230
Luidiidae	60582
Lumbrineridae	104719
Luridae	39221
Lutjanidae	30850
Luvaridae	30887
Lycaeidae	472074
Lyonsiidae	120440
Lyrellaceae	216723
Lysianassidae	134545
Lysianassoidea	44330
Lysiosquilloidea	77691
Macrocyprididae	182499
Macrocypridoidea	182498
Macrouridae	30761
Mactridae	6581
Mactroidea	106231
Maeridae	1394511
Magapiidae	1612406
Magelonidae	46596
Majidae	6805
Majoidea	6804
Malagazziidae	308595
Maldanidae	61845
Malletiidae	297443
Mamiellaceae	41873
Mangeliidae	1340153
Margarettidae	1072072
Margaritidae	1955487
Marginellidae	2510244
Marginellonidae	2802921
Mastigiidae	493929
Mastogloiaceae	2045115
Mecynostomidae	188039
Medusettidae	332297
Megalopidae	7930
Megaluropidae	190430
Megathyrididae	120985
Megathyridoidea	115402
Melanopsidae	54127
Melinnidae	2784885
Melithaeidae	86552
Melitidae	190426
Melosiraceae	35123
Melphidippidae	371419
Membraniporidae	192924
Membraniporoidea	193206
Merismopediaceae	1890428
Merliidae	1325617
Merlucciidae	8061
Merulinidae	46736
Mesodiniidae	283645
Metacylididae	181649
Methylobacteriaceae	119045
Methylococcaceae	403
Metidae	94027
Metopidae	37952
Metridiidae	37511
Metridinidae	122094
Microbacteriaceae	85023
Microcionidae	27926
Micrococcaceae	1268
Microcotylidae	54584
Microcystaceae	1890449
Microdajidae	1382596
Microlaimidae	293848
Micromonosporaceae	28056
Microphthalmidae	2859447
Microporellidae	97272
Microporidae	1072070
Microporoidea	193210
Microprotopidae	1732322
Microscaphidiidae	2555804
Microstomatidae	170197
Microstomidae	52055
Mimosellidae	991066
Minchinellidae	284004
Miraciidae	324870
Mithracidae	553065
Mitridae	69649
Mitrocomidae	36081
Moerisiidae	168751
Molgulidae	27573
Molidae	31029
Molpadiidae	566286
Monacanthidae	143346
Monhysteridae	120165
Monocelididae	44215
Monodopsidaceae	425072
Monoporellidae	2780358
Monoposthiidae	129894
Monstrillidae	389308
Moraxellaceae	468
Moridae	30759
Moritellaceae	267891
Mormonillidae	2030959
Moronidae	42148
Mugilidae	8189
Mullidae	30854
Munididae	1124584
Munidopsidae	2653955
Munnidae	525166
Munnopsidae	192514
Muraenesocidae	7944
Muraenidae	46660
Muraenolepididae	30760
Murchisonellidae	699237
Murchisonelloidea	2052534
Muricidae	39476
Muricoidea	39475
Mycalidae	86014
Mycobacteriaceae	1762
Mycoplasmataceae	2092
Myctophidae	68515
Myidae	6602
Myliobatidae	1158979
Myoidea	6601
Myriaporidae	475379
Myriopathidae	639603
Myriotrochidae	1902920
Mysidae	79901
Mysticeti	9761
Mytilidae	6547
Mytiloidea	106220
Myxillidae	118318
Myxinidae	7762
Myxococcaceae	31
Myzostomatidae	2081646
Naididae	2109251
Nannastacidae	94566
Nannocystaceae	224463
Nannosquillidae	85301
Nassariidae	6483
Naticidae	208830
Naticoidea	208829
Nausithoidae	168760
Nautiliaceae	224467
